station_name,city_code
서울,11
용산,11
노량진,11
영등포,11
신도림,11
상봉,11
서빙고,11
옥수,11
왕십리,11
청량이,11
광운대,11
수서,11
부강,12
소정리,12
전의,12
조치원,12
화명,21
구포,21
사상,21
부산,21
부전,21
동래,21
센텀,21
신해운대,21
송정,21
기장,21
좌천,21
서대구,22
대구,22
동대구,22
인천공항T2,23
주안,23
검암,23
인천공항T1,23
광주송정,24
효천,24
서광주,24
광주,24
극락강,24
대전,25
서대전,25
흑석리,25
신탄진,25
북울산,26
울산,26
남창,26
덕하,26
태화강,26
효문,26
안양,31
수원,31
오산,31
서정리,31
평택,31
가남,31
부발,31
덕소,31
아신,31
양평,31
용문,31
지평,31
석불,31
일신,31
매곡,31
양동,31
삼산,31
부천,31
행신,31
능곡,31
일산,31
탄현,31
파주,31
문산,31
운천,31
임진강,31
도라산,31
의정부,31
동두천,31
소요산,31
초성리,31
한탄강,31
천곡,31
연천,31
신망리,31
대광리,31
신탄리,31
퇴계원,31
사릉,31
평내호평,31
마석,31
대성리,31
청평,31
가평,31
광명,31
동탄,31
지제,31
횡성,32
둔내,32
평창,32
진부,32
동화,32
만종,32
반곡,32
신림,32
백마고지,32
백양리,32
강촌,32
김유정,32
남춘천,32
춘천,32
동점,32
철암,32
도계,32
신기,32
동해,32
묵호,32
망상해변,32
망상,32
정동진,32
강릉,32
별어곡,32
선평,32
정선,32
나전,32
아우라지,32
서원주,32
원주,32
추암,32
삼척해변,32
쌍룡,32
연당,32
영월,32
예미,32
함백,32
민둥산,32
사북,32
고한,32
추전,32
태백,32
동백산,32
감곡장호원,33
앙성온천,33
옥천,33
이원,33
지탄,33
심천,33
각계,33
영동,33
황간,33
추풍령,33
봉양,33
제천,33
도담,33
단양,33
오송,33
청주,33
오근장,33
청주공항,33
증평,33
음성,33
주덕,33
충주,33
목행,33
삼탄,33
장락,33
신웅천,34
성환,34
천안,34
계룡,34
연산,34
논산,34
강경,34
아산,34
온양온천,34
신창,34
도고온천,34
신례원,34
예산,34
삽교,34
홍성,34
광천,34
청소,34
대천,34
판교,34
장항,34
서천,34
연무대,34
천안아산,34
공주,34
대야,35
용동,35
함열,35
익산,35
김제,35
신태인,35
정읍,35
삼례,35
동산,35
전주,35
신리,35
관촌,35
임실,35
오수,35
남원,35
군산,35
백양사,36
장성,36
나주,36
다시,36
함평,36
무안,36
몽탄,36
일로,36
임성리,36
목포,36
곡성,36
구례구,36
순천,36
율촌,36
여천,36
순천,36
진상,36
옥곡,36
여수EXPO,36
진상,36
옥곡,36
광양,36
벌교,36
조성,36
예당,36
득량,36
보성,36
명봉,36
이양,36
능주,36
화순,36
남평,36
안동,37
신나원,37
신안강,37
월포,37
장사,37
강구,37
영덕,37
김천,37
아포,37
구미,37
사곡,37
약목,37
왜관,37
신동,37
경산,37
남성현,37
청도,37
풍기,37
영주,37
의성,37
탑리,37
화본,37
신녕,37
복영천,37
영천,37
아화,37
서경주,37
옥산,37
청리,37
상주,37
함창,37
점촌,37
용궁,37
개포동예천,37
봉화,37
봉성,37
춘양,37
임기,37
현동,37
분천,37
비동,37
양원,37
승부,37
석포,37
하양,37
포항,37
김천구미,37
신경주,37
입실,37
사방,37
안강,37
양자동,37
부조,37
효자,37
상동,38
밀양,38
상랑진,38
원동,38
물금,38
한림정,38
진영,38
진례,38
창원중앙,38
창원,38
미산,38
중리,38
함안,38
군북,38
원북,38
평촌,38
반성,38
진성,38
진주,38
완사,38
북천,38
양보,38
횡천,38
하동,38
신창원,38
진해,38